가로수길명,가로수길시작위도,가로수길시작경도,가로수길종료위도,가로수길종료경도,가로수종류,가로수수량,가로수길길이,식재연도,가로수길소개,도로명,도로종류,도로구간,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
서곡널다리길,37.32337743,127.9379315,37.31896645,127.9392771,왕벚나무,24,0.2,,양옆으로 왕벚나무가 단목으로 식재되어 있는 가로수길,,,포스코아파트앞 도로,033-737-3654,강원특별자치도 원주시청,2025-11-27,4191000,강원특별자치도 원주시
단관초교길,37.31833658,127.9657381,37.31609735,127.9640068,중국단풍,65,0.7,,양옆으로 중국단풍이 단목으로 식재되어 있는 가로수길,,,단관초교둘레길도로,033-737-3654,강원특별자치도 원주시청,2025-11-27,4191000,강원특별자치도 원주시
단관공원길,37.32367753,127.961410,37.31399299,127.9571698,느티나무,168,1.5,,양옆으로 느티나무가 단목으로 식재되어 있는 가로수길,,,단구사거리~중앙하이츠A,033-737-3654,강원특별자치도 원주시청,2025-11-27,4191000,강원특별자치도 원주시
단관길,37.32420898,127.9509394,37.31608396,127.9621951,중국단풍+느티나무,272,1.5,,양옆으로 중국단풍과 느티나무가 단목으로 식재되어 있는 가로수길,,,구곡사거리~청솔6차아파트,033-737-3654,강원특별자치도 원주시청,2025-11-27,4191000,강원특별자치도 원주시
나비허리길,37.32471749,127.9561129,37.31776047,127.9673482,중국단풍+은행나무,243,1.8,,양옆으로 중국단풍과 느티나무가 단목으로 식재되어 있는 가로수길,,,단구시온성당~청솔6차아파트,033-737-3654,강원특별자치도 원주시청,2025-11-27,4191000,강원특별자치도 원주시
시청로(청솔5차아파트길),37.31535563,127.9624411,37.31511457,127.963718,중국단풍+은행나무,138,0.7,,양옆으로 중국단풍과 은행나무가 단목으로 식재되어 있는 가로수길,,,단관사거리~단관교차로,033-737-3654,강원특별자치도 원주시청,2025-11-27,4191000,강원특별자치도 원주시
무실동주변길,37.33835042,127.9236644,37.33639267,127.923755,대왕참나무+중국단풍,554,2.5,,양옆으로 대왕참나무와 중국단풍이 단목으로 식재되어 있는 가로수길,,,"보네르카운티~주공아파트주변, 만대로~무실초교~만대초교길",033-737-3654,강원특별자치도 원주시청,2025-11-27,4191000,강원특별자치도 원주시
시청로,37.202172,127.552718,37.185109,127.580752,메타세콰이어+왕벚나무+은행나무+배롱나무,1112,5.3,,"양옆으로 메타세콰이어와 왕벚나무가 주로 교목이 식재되어 있고 매자나무, 조팝타무 등 관목이 복층림을 이룸, 중앙분리대에 은행나무와 반송이 식재되어 있음, 원주시를 대표하는 명품가로숲길로 산책시민의 많은 사람을 받고 있음",,,시청앞사거리~관설사거리,033-737-3654,강원특별자치도 원주시청,2025-11-27,4191000,강원특별자치도 원주시
대산북로,35.369757,128.643346,35.342879,128.743243,메타세쿼이아+배롱나무+해송,128,10.7,,도로 좌우쪽으로 은행나무 외 2종이 심겨져 있어 아름다운 경관 연출,,,본포교 입구 ~ 유청마을 회관,055-212-4508,경상남도 창원시 의창구청,2025-12-02,5670000,경상남도 창원시
무동로,35.316328,128.575915,35.318962,128.608670,왕벚나무+느티나무+이팝나무+홍가시+배롱나무,1593,3,,도로 좌우쪽으로 왕벚나무 외 4종이 심겨져 있어 아름다운 경관 연출,,,무동지구,055-212-4508,경상남도 창원시 의창구청,2025-12-02,5670000,경상남도 창원시
동전로,35.318334,128.600389,35.296596,128.594015,왕벚나무+아왜나무+느티나무+배롱나무 +홍단풍+가시나무+루브라참나무+은행나무+스트로브잣나무+이팝나무,1312,2.6,,도로 좌우쪽으로 왕벚나무 외 9종이 심겨져 있어 아름다운 경관 연출,,,"동전지구,감전지구",055-212-4508,경상남도 창원시 의창구청,2025-12-02,5670000,경상남도 창원시
정렬대로,35.278405,128.617022,35.359714,128.630018,배롱나무+단풍나무,2553,12.2,,도로 좌우쪽으로 배롱나무외 1종이 심겨져 있어 아름다운 경관 연출,,,굴현터널 ~ 마산삼거리,055-212-4508,경상남도 창원시 의창구청,2025-12-02,5670000,경상남도 창원시
하천로,35.360252,128.595267,35.373106,128.613651,느티나무+배롱나무+왕벚나무+이팝나무,100,2.5,,도로 좌우쪽으로 왕벚나무 외 3종이 심겨져 있어 아름다운 경관 연출,,,상천리 하천2교 ~ 북면야구장 앞 삼거리,055-212-4508,경상남도 창원시 의창구청,2025-12-02,5670000,경상남도 창원시
천주로1184번길,35.347362,128.610496,35.354791,128.611282,왕벚나무+배롱나무,22,1,,도로 좌우쪽으로 왕벚나무 외 1종이 심겨져 있어 아름다운 경관 연출,,,북면사무소 앞 회전교차로 ~ 유앤아이모텔 입구,055-212-4508,경상남도 창원시 의창구청,2025-12-02,5670000,경상남도 창원시
천주로1173번길,35.354669,128.610132,35.357413,128.607479,배롱나무,13,0.4,,도로 좌우쪽으로 배롱나무가 심겨져 있어 아름다운 경관 연출,,,온천지구(천마온천 뒷길 ~ 별궁모텔 입구),055-212-4508,경상남도 창원시 의창구청,2025-12-02,5670000,경상남도 창원시
천주로1170번길,35.354386,128.609800,35.353056,128.612400,왕벚나무+배롱나무,55,0.3,,도로 좌우쪽으로 왕벚나무 외 1종이 심겨져 있어 아름다운 경관 연출,,,온천지구(북면 족욕장 ~ 마금산온천 입구),055-212-4508,경상남도 창원시 의창구청,2025-12-02,5670000,경상남도 창원시
천주로1165번길,35.354160,128.609510,35.357413,128.607464,배롱나무,14,0.6,,도로 좌우쪽으로 배롱나무가 심겨져 있어 아름다운 경관 연출,,,온천지구(마금산온천 입구 ~ 별궁모텔 입구),055-212-4508,경상남도 창원시 의창구청,2025-12-02,5670000,경상남도 창원시
천주로,35.261926,128.618184,35.390289,128.595407,모과나무+배롱나무+왕벚나무+은행나무+해송+이팝나무,682,17,,도로 좌우쪽으로 은행나무 외 5종이 심겨져 있어 아름다운 경관 연출,,,굴현고개 ~ 북면 명촌마을,055-212-4508,경상남도 창원시 의창구청,2025-12-02,5670000,경상남도 창원시
온천로,35.354725,128.610694,35.362056,128.572545,배롱나무+왕벚나무+은행나무,707,4.2,,도로 좌우쪽으로 은행나무 외 2종이 심겨져 있어 아름다운 경관 연출,,,천마온천 입구 ~ 함안군 칠북면 경계,055-212-4508,경상남도 창원시 의창구청,2025-12-02,5670000,경상남도 창원시
단내로,35.339849,128.601116,35.349984,128.564215,스트로브잣나무,264,3.8,,도로 좌우쪽으로 스트로브잣나무가 심겨져 있어 아름다운 경관 연출,,,내곡삼거리 ~ 아산마을 입구,055-212-4508,경상남도 창원시 의창구청,2025-12-02,5670000,경상남도 창원시
동읍로,35.277315,128.684645,35.371014,128.643308,해송,53,14.6,,도로 좌우쪽으로 해송이 심겨져 있어 아름다운 경관 연출,,,동읍삼거리 ~ 본포교,055-212-4508,경상남도 창원시 의창구청,2025-12-02,5670000,경상남도 창원시
단계2로,35.283747,128.698612,35.279459,128.704878,산수유,133,0.8,,도로 좌우쪽으로 산수유가 심겨져 있어 아름다운 경관 연출,,,동읍 송정리 51-2 ~ 동읍 용정리 13-4,055-212-4508,경상남도 창원시 의창구청,2025-12-02,5670000,경상남도 창원시
단계로,35.273308,128.706656,35.269587,128.706807,해송,11,0.4,,도로 좌우쪽으로 해송이 심겨져 있어 아름다운 경관 연출,,,자여마을 입구 ~ 북방과학연구소,055-212-4508,경상남도 창원시 의창구청,2025-12-02,5670000,경상남도 창원시
봉강가술로,35.351137,128.656905,35.332283,128.706864,왕벚나무+메타세쿼이아,221,5.8,,도로 좌우쪽으로 메타세쿼이아 외 1종이 심겨져 있어 아름다운 경관 연출,,,동읍 봉강삼거리 ~ 대산 삼봉어린이공원 입구,055-212-4508,경상남도 창원시 의창구청,2025-12-02,5670000,경상남도 창원시
남면로113번길,35.223973,128.637156,35.220707,128.641633,은행나무,117,0.5,,도로 좌우쪽으로 은행나무가 심겨져 있어 아름다운 경관 연출,,,덕정교 입구 ~ 대원동 90,055-272-4506,경상남도 창원시 성산구청,2025-12-02,5670000,경상남도 창원시
중앙대로186번길,35.229992,128.685131,35.228843,128.687143,은행나무,35,0.2,,도로 좌우쪽으로 은행나무가 심겨져 있어 아름다운 경관 연출,,,경찰청 삼거리 ~ KBS사거리,055-272-4506,경상남도 창원시 성산구청,2025-12-02,5670000,경상남도 창원시
중앙대로185번길,35.231038,128.683211,35.229992,128.685131,은행나무,46,0.2,,도로 좌우쪽으로 은행나무가 심겨져 있어 아름다운 경관 연출,,,용지공원 사거리 ~ KBS사거리,055-272-4506,경상남도 창원시 성산구청,2025-12-02,5670000,경상남도 창원시
중앙대로,35.236158,128.690401,35.227566,128.683252,느티나무+히말라야시다,96,1.2,,도로 좌우쪽으로 느티나무 외 1종이 심겨져 있어 아름다운 경관 연출,,,경남도청 ~ 창원시청,055-272-4506,경상남도 창원시 성산구청,2025-12-02,5670000,경상남도 창원시
용호로,35.230185,128.675782,35.239753,128.685002,메타세쿼이아,235,1.4,,도로 좌우쪽으로 메타세쿼이아가 심겨져 있어 아름다운 경관 연출,,,창원중앙고등학교 앞길 ~ 안국선원,055-272-4506,경상남도 창원시 성산구청,2025-12-02,5670000,경상남도 창원시
용지로239번길,35.237229,128.682814,35.235114,128.680508,메타세쿼이아,93,0.4,,도로 좌우쪽으로 메타세쿼이아가 심겨져 있어 아름다운 경관 연출,,,용호동 29-17 앞 ~ 경남여성능력센터앞삼거리,055-272-4506,경상남도 창원시 성산구청,2025-12-02,5670000,경상남도 창원시
용지로169번길,35.229953,128.682216,35.233194,128.674391,먼나무,80,0.8,,도로 좌우쪽으로 먼나무가 심겨져 있어 아름다운 경관 연출,,,용지호수공원 앞 길,055-272-4506,경상남도 창원시 성산구청,2025-12-02,5670000,경상남도 창원시
용지로,35.227522,128.680237,35.242247,128.690472,은행나무,277,2,,도로 좌우쪽으로 은행나무가 심겨져 있어 아름다운 경관 연출,,,시청사거리 ~ 창원대 입구,055-272-4506,경상남도 창원시 성산구청,2025-12-02,5670000,경상남도 창원시
국제금융로6길,37.520904,126.925562,37.523133,126.929639,은행나무 등,191,0.5,,여의도백화점 앞 도로,,구도,의사당대로~국제금융로,02-2670-4095,서울특별시 영등포구청,2025-12-18,3180000,서울특별시 영등포구
영신로9라길,37.513215,126.905081,37.512114,126.906201,느티나무,27,0.2,,영등포 푸르지오 아파트 순환도로,,구도,도영로 ~ 영1공원,02-2670-4095,서울특별시 영등포구청,2025-12-18,3180000,서울특별시 영등포구
영신로9길,37.512114,126.906201,37.510084,126.904731,느티나무,31,0.5,,도영로에서 영등포 푸르지오아파트 순환하는 도로,,구도,영1공원~영신로9라길,02-2670-4095,서울특별시 영등포구청,2025-12-18,3180000,서울특별시 영등포구
도영로,37.513215,126.905081,37.507612,126.894199,느티나무 등,231,1.4,,"신도림역에서 영등포역으로 이어지는 이면도로로 왕벚나무가 매우 아름답고, 대형 메타세콰이어 길도 운치있다.",,구도,신도림역~영등포역,02-2670-4095,서울특별시 영등포구청,2025-12-18,3180000,서울특별시 영등포구
당산로2길,37.515567,126.894395,37.515428,126.900209,느티나무 등,133,0.4,,문래동 과학문화의 거리와 로데오왁 앞으로 어어진 한산한 도로,,구도,문래근린공원~ 문래동주민세터,02-2670-4095,서울특별시 영등포구청,2025-12-18,3180000,서울특별시 영등포구
당산로4길,37.517263,126.895101,37.516839,126.898556,느티나무 등,145,0.5,,"문래자이아파트 뒤 일방통행로, 느티나무가 잘 조성되어 있다.",,구도,당산로~문래동주민센터,02-2670-4095,서울특별시 영등포구청,2025-12-18,3180000,서울특별시 영등포구
문래로28길,37.518667,126.899396,37.515595,126.898368,느티나무 등,80,0.3,,문래자이아파트 옆 도로,,구도,영등포로~문래로,02-2670-4095,서울특별시 영등포구청,2025-12-18,3180000,서울특별시 영등포구
문래로26길,37.516839,126.898556,37.519681,126.898271,느티나무,43,0.2,,문래동 메가트리움 옆 이면도로,,구도,문래로~당산로4길,02-2670-4095,서울특별시 영등포구청,2025-12-18,3180000,서울특별시 영등포구
양평로21길,37.535584,126.892016,37.537644,126.893587,은행나무 등,62,0.3,,롯데제과 앞 도로,,구도,롯데제과 ~ 선유도역,02-2670-4095,서울특별시 영등포구청,2025-12-18,3180000,서울특별시 영등포구
양평로22길,37.538078,126.893738,37.540388,126.895794,느티나무 등,57,0.4,,선유도역에서 당산초까지 이어지는 걷고싶은 거리,,구도,선유도역 ~ 당산초교,02-2670-4095,서울특별시 영등포구청,2025-12-18,3180000,서울특별시 영등포구
당산로44길,37.531768,126.900533,37.530306,126.904338,이팝나무,51,0.4,,당산동 삼성래미안 아파트 옆 도로,,구도,당산로~영신로,02-2670-4095,서울특별시 영등포구청,2025-12-18,3180000,서울특별시 영등포구
가마산로79길,37.508808,126.917517,37.504759,126.916035,느티나무,123,0.5,,대신시장에서 해군호텔로 이어지는 이면도로,,구도,도신로60길~해군호텔,02-2670-4095,서울특별시 영등포구청,2025-12-18,3180000,서울특별시 영등포구
신길로1길,37.494314,126.908745,37.492984,126.907346,느티나무,7,0.2,,강남성심병원 뒤 대림성당 사이도로,,구도,강남성심병원~대림중학교,02-2670-4095,서울특별시 영등포구청,2025-12-18,3180000,서울특별시 영등포구
도영로22길,37.511417,126.900457,37.510626,126.904046,왕벚나무 등,37,0.6,,도림동 자이아파트와 푸르지오아파트 사잇길,,구도,대우미래시장오피~영원초교,02-2670-4095,서울특별시 영등포구청,2025-12-18,3180000,서울특별시 영등포구
시흥대로173길,37.485945,126.903506,37.486896,126.902169,느티나무,25,0.2,,신대림 자이아파트 사잇길,,구도,구로디지털단지역~신대림자이아파트,02-2670-4095,서울특별시 영등포구청,2025-12-18,3180000,서울특별시 영등포구
도림천로21길,37.486896,126.902169,37.485407,126.902929,느티나무,20,0.4,,신대림 자이아파트 사잇길,,구도,신대림자이아파트~영림초교,02-2670-4095,서울특별시 영등포구청,2025-12-18,3180000,서울특별시 영등포구
선유로35길,37.526926,126.890312,37.527194,126.888351,왕벚나무,31,0.3,,양평유수지 순환도로,,구도,양평유수지~대우이안,02-2670-4095,서울특별시 영등포구청,2025-12-18,3180000,서울특별시 영등포구
선유로3길,37.514938,126.887774,37.517122,126.884425,양버즘나무 등,73,0.4,,선유로와 선유서로를 잇는 도로,,구도,선유로~선유서로,02-2670-4095,서울특별시 영등포구청,2025-12-18,3180000,서울특별시 영등포구
신풍로17길,37.503907,126.916483,37.500033,126.916208,느티나무 등,18,0.5,,신풍로에서 해군호텔로 이어지는 도로,,구도,해군호텔~신풍로,02-2670-4095,서울특별시 영등포구청,2025-12-18,3180000,서울특별시 영등포구
영등포로30길,37.500033,126.916208,37.518654,126.899574,은행나무,7,0.2,,영등포로 파생된 이면도로,,구도,문랠로~코오롱아파트,02-2670-4095,서울특별시 영등포구청,2025-12-18,3180000,서울특별시 영등포구
영등포로28길,37.518767,126.898511,37.520509,126.898946,은행나무,10,0.3,,영등포로에서 파생된 이면도로,,구도,문래로~금호어울림,02-2670-4095,서울특별시 영등포구청,2025-12-18,3180000,서울특별시 영등포구
여의대방로69길,37.521368,126.930227,37.519303,126.931491,은행나무 등,37,0.3,,kbs별관 옆 이면도로,,구도,롯데캐슬아이비~국제금융로8길,02-2670-4095,서울특별시 영등포구청,2025-12-18,3180000,서울특별시 영등포구
도림로139길,37.514562,126.893606,37.514562,126.893606,양버즘나무 등,39,0.3,,문래동 철공소 주변 도로,,구도,문래근린공원앞사거리~경인로77길,02-2670-4095,서울특별시 영등포구청,2025-12-18,3180000,서울특별시 영등포구
문래로30길,37.514562,126.893606,37.514494,126.900593,느티나무,66,0.3,,영일시장 앞 도로,,구도,영일시장입구 ~ 경인로,02-2670-4095,서울특별시 영등포구청,2025-12-18,3180000,서울특별시 영등포구
경인로96길,37.515067,126.903516,37.515021,126.904186,은행나무,0,0.4,,영등포고가도로 하부도로,,구도,경인로~경부4녹지,02-2670-4095,서울특별시 영등포구청,2025-12-18,3180000,서울특별시 영등포구
신길로61길,37.515021,126.904186,37.515386,126.909243,양버즘나무 등,51,0.4,,영등포공원 순환도로,,구도,신길로 ~ 영등포공원 후문,02-2670-4095,서울특별시 영등포구청,2025-12-18,3180000,서울특별시 영등포구
도림로47길,37.494982,126.900588,37.498254,126.899011,이팝나무,39,0.4,,대림우성아파트에서 원지공원까지 이어지는 도로,,구도,도림로 ~ 원지어린이공원,02-2670-4095,서울특별시 영등포구청,2025-12-18,3180000,서울특별시 영등포구
영등포로3길,37.523677,126.882934,37.524342,126.883321,왕벚나무 등,15,0.3,,오목교 앞에서 상록수 아파트 옆으로 이어지는 길,,구도,오목교 ~ 삼성래미안아파트,02-2670-4095,서울특별시 영등포구청,2025-12-18,3180000,서울특별시 영등포구
영중로41길,37.529081,126.903973,37.528695,126.905516,양버즘나무 등,25,0.2,,빅마켓 옆 도로,,구도,영신로 ~ 영중로,02-2670-4095,서울특별시 영등포구청,2025-12-18,3180000,서울특별시 영등포구
경인로71길,37.511674,126.891512,37.515848,126.883326,은행나무 등,51,1,,도림천을 끼고 신도림 고가 하부도로,,구도,도림교 ~ 도림천고가 신정교하부,02-2670-4095,서울특별시 영등포구청,2025-12-18,3180000,서울특별시 영등포구
버드나루로14길,37.531051,126.908092,37.525939,126.910313,왕벚나무 등,45,0.7,,강변삼성래미안 아파트 뒷 길,,구도,강변래미안3차 ~ 대한결핵협회,02-2670-4095,서울특별시 영등포구청,2025-12-18,3180000,서울특별시 영등포구
신길로33길,37.505741,126.907652,37.505325,126.910527,이팝나무,31,0.3,,신길동 래미안 아파트 뒤길,,구도,가마산로사러가상가 ~ 신길로,02-2670-4095,서울특별시 영등포구청,2025-12-18,3180000,서울특별시 영등포구
영신로55길,37.526787,126.903321,37.526787,126.903321,은행나무,6,0.1,,빅마켓 옆 도로,,구도,영신로 ~ 당산동반도유보라아파트,02-2670-4095,서울특별시 영등포구청,2025-12-18,3180000,서울특별시 영등포구
여의대방로,37.522829,126.936812,37.492223,126.909941,느티나무 등,474,5.7,,"여의도구간과 신길동 구간으로 이어져 있으며, 느티나무와 은행나무, 양버즘나무 등이 구간별로 식재되어 있다",,시도,원효대교남단~강남성심병원,02-2670-4095,서울특별시 영등포구청,2025-12-18,3180000,서울특별시 영등포구
가마산로,37.496812,126.894605,37.503952,126.921336,은행나무 등,473,2.8,,구로구와 경계부 대림3동부터 최근에 왕벚나무로 수종교체한 지역으로 대방천로를 지나면서 은행나무구간으로 이어진다,,시도,구로구경계~여의대방로,02-2670-4095,서울특별시 영등포구청,2025-12-18,3180000,서울특별시 영등포구
세미로 1길,37.5446267,127.1938745,37.5425768,127.1940813,이팝나무,,0.23,,이팝나무 식재로 봄에 아름다운 하얀꽃을 볼 수 있음,,,풍산동 631,,경기도 하남시청,2025-12-18,4040000,경기도 하남시
세미로,37.5448283,127.1924392,37.544001,127.1963744,이팝나무,,0.35,,이팝나무 식재로 봄에 아름다운 하얀꽃을 볼 수 있음,,,풍산동 631,,경기도 하남시청,2025-12-18,4040000,경기도 하남시
감이로,37.5036851,127.1634204,37.5039704,127.1676975,느티나무,,0.35,,느티나무 식재로 여름에 푸르른 녹음을 즐길 수 있음,,,감이동 489,,경기도 하남시청,2025-12-18,4040000,경기도 하남시
감일순환로,37.5067703,127.1578176,37.5051409,127.1612998,느티나무,,2,,느티나무 식재로 여름에 푸르른 녹음을 즐길 수 있음,,,감이동 449 - 감이동 461-2,,경기도 하남시청,2025-12-18,4040000,경기도 하남시
감일백제로 180번길,37.5110775,127.1564842,37.5087642,127.1546941,느티나무,,0.2,,느티나무 식재로 여름에 푸르른 녹음을 즐길 수 있음,,,감이동 515-1 - 감이동 515,,경기도 하남시청,2025-12-18,4040000,경기도 하남시
신우실로,37.5115974,127.155275,37.5064622,127.1701812,이팝나무,,1.5,,이팝나무 식재로 봄에 아름다운 하얀꽃을 볼 수 있음,,,감일동 526 - 감이동 467,,경기도 하남시청,2025-12-18,4040000,경기도 하남시
감일중앙로,37.5129258,127.1559133,37.5042871,127.1508047,이팝나무,,0.54,,이팝나무 식재로 봄에 아름다운 하얀꽃을 볼 수 있음,,,감일동 126-18 - 감일동 515,,경기도 하남시청,2025-12-18,4040000,경기도 하남시
감일로,37.5126354,127.1549498,37.5085358,127.1507501,이팝나무,,0.6,,이팝나무 식재로 봄에 아름다운 하얀꽃을 볼 수 있음,,,감일동 133-5 - 감일동 460,,경기도 하남시청,2025-12-18,4040000,경기도 하남시
감일백제로,37.508995,127.1514654,37.4975574,127.1610023,왕벚나무,,2,,왕벚나무 식재로 봄에 아름다운 벚꽃길을 거닐 수 있음,,,감일동 460 - 감이동 515,,경기도 하남시청,2025-12-18,4040000,경기도 하남시
초광산단동로,37.528368,127.172261,37.528708,127.173569,왕벚나무,,0.13,,왕벚나무 식재로 봄에 아름다운 벚꽃길을 거닐 수 있음,,,광암동 401 - 광암동 402,,경기도 하남시청,2025-12-18,4040000,경기도 하남시
초광산단로,37.526862,127.168847,37.525211,127.172122,이팝나무,,1.01,,이팝나무 식재로 봄에 아름다운 하얀꽃을 볼 수 있음,,,초이동 628-1 - 광암동 409,,경기도 하남시청,2025-12-18,4040000,경기도 하남시
초광산단서로,37.529125,127.165437,37.529023,127.168548,왕벚나무,,0.3,,왕벚나무 식재로 봄에 아름다운 벚꽃길을 거닐 수 있음,,,초이동 620 - 초이동 625-5,,경기도 하남시청,2025-12-18,4040000,경기도 하남시
위례순환로,37.477838,127.147831,37.471826,127.154354,느티나무,,0.85,,느티나무 식재로 여름에 푸르른 녹음을 즐길 수 있음,,,학암동 664 - 학암동 672,,경기도 하남시청,2025-12-18,4040000,경기도 하남시
위례동로,37.476918,127.151725,37.471962,127.150352,이팝나무,,0.34,,이팝나무 식재로 봄에 아름다운 하얀꽃을 볼 수 있음,,,학암동 672,,경기도 하남시청,2025-12-18,4040000,경기도 하남시
위례대로2길,37.480802,127.149151,37.479013,127.147916,이팝나무,,0.3,,이팝나무 식재로 봄에 아름다운 하얀꽃을 볼 수 있음,,,학암동 659 - 학암동 661,,경기도 하남시청,2025-12-18,4040000,경기도 하남시
위례대로4길,37.480861,127.148016,37.480724,127.150676,이팝나무,,0.3,,이팝나무 식재로 봄에 아름다운 하얀꽃을 볼 수 있음,,,학암동 654 - 학암동 656,,경기도 하남시청,2025-12-18,4040000,경기도 하남시
위례대로,37.481831,127.147973,37.474271,127.147629,느티나무+은행나무,,0.9,,느티나무 식재로 여름에 푸르른 녹음을 즐길 수 있고 은행나무 식재로 가을에 노란단풍을 볼 수있음,,,학암동 654 - 학암동 671,,경기도 하남시청,2025-12-18,4040000,경기도 하남시
장생포로,35.520011,129.343303,35.507841,129.384211,느티나무,4.2,698,,공단을 가로지르는 느티나무길,장생포로,광역시도,여천사거리~현대정공~해양수산청,052-229-3323,울산광역시청,2024-01-05,6310000,울산광역시
울밀로,35.554827,129.265361,35.553003,129.269906,팽나무,0.3,105,,문수고등학교가 있는 팽나무길,울밀로,광역시도,문수고등학교~삼호교남교차로,052-229-3323,울산광역시청,2024-01-05,6310000,울산광역시
수암로,35.532251,129.307572,35.520011,129.343303,은행나무+느티나무,3.8,1465,,수암시장이 있는 은행나무와 느니타무길,수암로,광역시도,공업탑로터리~야음사거리~여천사거리,052-229-3323,울산광역시청,2024-01-05,6310000,울산광역시
삼산로,35.532251,129.307572,35.539851,129.351686,은행나무,4.2,579,,"태화강역과 호텔, 백화점이 있는 은행나무길",삼산로,광역시도,공업탑로터리~번영사거리~태화강역,052-229-3323,울산광역시청,2024-01-05,6310000,울산광역시
봉월로,35.532251,129.307572,35.549014,129.308054,은행나무,2,341,,공업탑로터리와 태화로터리를 연결하는 은행나무길,봉월로,광역시도,공업탑로터리~봉월사거리~태화로터리,052-229-3323,울산광역시청,2024-01-05,6310000,울산광역시
문수로,35.532251,129.307572,35.535778,129.253295,느티나무,5.1,438,,문수월드컵경기장과 울산과학관이 있는 느티나무길,문수로,광역시도,공업탑로터리~문수경기장~무거삼거리,052-229-3323,울산광역시청,2024-01-05,6310000,울산광역시
두왕로,35.532251,129.307572,35.503441,129.308611,해송+느티나무+왕벚나무+은행나무,3.5,930,,울산대공원(동측)과 울산박물관이 있는 느티나무 및 해송길,두왕로,광역시도,공업탑로터리~감나무진삼거리~두왕사거리,052-229-3323,울산광역시청,2024-01-05,6310000,울산광역시
대학로,35.549611,129.263234,35.535778,129.253295,느티나무+플라타너스,2.5,358,,울산대학교가 있는 플라타너스길,대학로,광역시도,신복로터리~울산대학교~무거삼거리,052-229-3323,울산광역시청,2024-01-05,6310000,울산광역시
남산로,35.549014,129.308054,35.552792,129.270552,느티나무+은행나무+왕벚나무+해송,4,1262,,태화강국가정원(삼호지구)과 태화강동굴피아가 있는 느티나무길,남산로,광역시도,태화로터리~와와삼거리~신삼호교,052-229-3323,울산광역시청,2024-01-05,6310000,울산광역시
남부순환도로,35.549448,129.263778,35.517402,129.309661,왕벚나무+느티나무+해송,6.3,1679,,울산대공원(남측)과 문수국제양궁장이 있는 왕벚나무길,남부순환도로,광역시도,신복로터리~옥현사거리~감나무진삼거리,052-229-3323,울산광역시청,2024-01-05,6310000,울산광역시
강남로,35.549014,129.308054,35.544643,129.354285,메타세콰이어+은행나무+왕벚나무+가시나무+동백나무,4.3,931,,태화강이 보이는 특색있는 메타세콰이어길,강남로,광역시도,태화교~번영교남단~명촌교남단,052-229-3323,울산광역시청,2024-01-05,6310000,울산광역시
종가17길,35.579358,129.336097,35.581725,129.340145,느티나무,0.54,97,,약사샘이 있는 느티나무길,종가17길,광역시도,약사샘~kcc스위첸,052-229-3323,울산광역시청,2024-01-05,6310000,울산광역시
중(집)1-11,35.584116,129.344878,35.583883,129.346721,느티나무,0.12,25,,지식산업센터가 있는 느티나무길,,광역시도,동천서로사거리~동천1길,052-229-3323,울산광역시청,2024-01-05,6310000,울산광역시
종가12길,35.577895,129.339075,35.580737,129.334755,느티나무,0.57,66,,약사샘 있는 느티나무길,종가12길,광역시도,종가로~기상대,052-229-3323,울산광역시청,2024-01-05,6310000,울산광역시
이예로,35.557941,129.293487,35.562181,129.292662,왕벚나무,0.48,109,,아파트 단지 사이의 왕벚나무길,이예로,광역시도,북부순환도로~우정호반베르디움,052-229-3323,울산광역시청,2024-01-05,6310000,울산광역시
길촌길,35.561795,129.303597,35.563355,129.303262,가시나무,0.18,32,,울산교육청이 있는가시나무길,길촌길,광역시도,길촌마을 입구교차로~종가로,052-229-3323,울산광역시청,2024-01-05,6310000,울산광역시
종가3길,35.559806,129.297673,35.562001,129.295352,이팝나무,0.34,67,,중구종합사회복지관이 있는 이팝나무길,종가3길,광역시도,태화지구대~종가로,052-229-3323,울산광역시청,2024-01-05,6310000,울산광역시
종가4길,35.561071,129.295991,35.560221,129.293096,이팝나무,0.36,69,,다양한 먹거리가 있는 이팝나무길,종가4길,광역시도,종가3길~우정혁신LH2단지,052-229-3323,울산광역시청,2024-01-05,6310000,울산광역시
종가8길,35.569351,129.331347,35.570095,129.330641,느티나무,0.11,16,,혁신도시로 진입하는 느티나무길,종가8길,광역시도,중구청교차로~종가로,052-229-3323,울산광역시청,2024-01-05,6310000,울산광역시
종가로,35.562507,129.288776,35.589188,129.346105,느티나무+은행나무+왕벚나무+가시나무,7.33,1496,,공룡발자국공원이 있으며 혁신도시를 통과하는 다양한 수목이 있는길,종가로,광역시도,태화저수지~우정골든클래스,052-229-3323,울산광역시청,2024-01-05,6310000,울산광역시
동천서로,35.579293,129.341438,35.629367,129.345935,해송+느티나무+무궁화,7.6,1602,,중구와 북구를 연결하는 외곽 해송길,동천서로,광역시도,서동삼거리~상안동~신답교,052-229-3323,울산광역시청,2024-01-05,6310000,울산광역시
